#       BSFG          |   BSFG with ED   |       CT
# 1 2 3  4   5    6    7   8     9    10   11  12   13   14   15
Z A El a   da   E1  dE1 atil datil  E2  dE2  T    dT   E0   dE0
51 124 Sb  14.14 25 -1.22 14  14.94 27  -1.26 15  0.71 3  -2.25 32 
52 123 Te  15.12 26 -0.21 11  14.84 25  -0.20 11  0.68 2  -1.27 18 
52 124 Te  15.04 30  1.00 11  15.10 31  1.00 11  0.71 2 -0.10 18 
52 125 Te  15.51 25 -0.07 9  15.80 26  -0.10 9  0.67 2  -1.19 15 
52 126 Te  14.36 24  0.88 10  15.17 26  0.85 11  0.72 2 -0.08 17 
52 127 Te  13.89 40 -0.44 13  15.08 44  -0.51 14  0.73 3  -1.50 21 
52 129 Te  14.21 47 -0.18 14  16.96 59  -0.33 15  0.69 3  -1.09 22 
52 131 Te  14.18 43  0.17 15  19.36 65 -0.08 17  0.68 3  -0.63 22 
53 128 I  14.01 33 -1.64 17  14.81 36  -1.70 18  0.76 5  -2.89 41 
53 130 I  12.87 25 -2.07 21  14.52 31  -2.23 22  0.81 5  -3.34 50 
54 129 Xe  13.39 68 -0.94 21  13.84 71  -0.97 21  0.76 5  -1.88 34 
54 130 Xe  14.05 25  0.73 14  14.94 27  0.68 14  0.73 2 -0.08 22 
54 131 Xe  14.41 51 -0.66 20  15.85 58  -0.73 21  0.70 4  -1.50 32 
54 132 Xe  13.50 55  0.95 16  15.49 63  0.84 17  0.75 3  0.08 24 
54 133 Xe  13.37 62 -0.48 24  16.15 80  -0.63 26  0.73 5  -1.18 36 
54 135 Xe  14.15 81  0.58 20  19.86 119  0.36 22  0.68 5 -0.12 26 
54 137 Xe  15.71 44  0.38 25  23.37 225  0.23 27  0.54 6 -0.03 29 
55 134 Cs  13.37 22  -1.65 16  15.28 27  -1.81 18  0.78 4  -2.82 37 
55 135 Cs  12.50 40  -0.77 33  14.86 54  -0.97 36  0.80 4  -1.50 51 
56 131 Ba  14.90 36 -0.65 17  14.89 35  -0.65 17  0.71 3  -1.72 27 
56 133 Ba  14.44 59 -0.72 20  15.04 62  -0.75 20  0.72 4  -1.73 31 
56 135 Ba  13.11 40 -0.86 30  14.58 47  -0.96 32  0.77 4  -1.66 46 
56 136 Ba  13.49 30  0.69 17  15.65 37  0.57 19  0.75 3 -0.03 27 
56 137 Ba  13.58 34  0.45 20  16.85 47  0.29 21  0.72 3 -0.25 28 
56 138 Ba  12.39 39  1.12 22  15.60 54  0.88 24  0.79 3  0.48 30 
56 139 Ba  12.69 65  0.04 29  16.05 90 -0.14 32  0.72 6  -0.48 41 
57 139 La  12.27 34 -0.22 23  14.87 45  -0.47 25  0.79 3  -0.83 32 
57 140 La  13.52 40 -1.20 19  16.17 51  -1.35 21  0.71 5  -1.91 38 
58 137 Ce  16.30 67 -0.01 15  17.18 76  -0.08 17  0.65 3  -0.91 26 
58 141 Ce  15.39 51  0.62 17  18.08 63  0.55 18  0.60 3  0.11 24 
